Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Stuck Like Glue,Sugarland,0.681,0.593,5.0,-9.327,1.0,0.0251,0.435,0.000117,0.106,0.731,115.058,audio_features,7hR5toSPEgwFZ78jfHdANM,spotify:track:7hR5toSPEgwFZ78jfHdANM,https://api.spotify.com/v1/tracks/7hR5toSPEgwFZ78jfHdANM,https://api.spotify.com/v1/audio-analysis/7hR5toSPEgwFZ78jfHdANM,250373.0,4.0
Hey Daddy (Daddy's Home),USHER,0.642,0.777,4.0,-4.809,0.0,0.094,0.00323,0.0,0.227,0.413,96.986,audio_features,3zmduBNsQ6BPDTZAkXzG5K,spotify:track:3zmduBNsQ6BPDTZAkXzG5K,https://api.spotify.com/v1/tracks/3zmduBNsQ6BPDTZAkXzG5K,https://api.spotify.com/v1/audio-analysis/3zmduBNsQ6BPDTZAkXzG5K,214400.0,4.0
Half of My Heart,John Mayer,0.734,0.639,1.0,-3.241,1.0,0.0316,0.0348,0.0,0.102,0.836,121.212,audio_features,45O0tUN9Bh6LH4eNxQ07AT,spotify:track:45O0tUN9Bh6LH4eNxQ07AT,https://api.spotify.com/v1/tracks/45O0tUN9Bh6LH4eNxQ07AT,https://api.spotify.com/v1/audio-analysis/45O0tUN9Bh6LH4eNxQ07AT,201653.0,4.0
Can't Be Tamed,Miley Cyrus,0.902,0.805,6.0,-5.003,1.0,0.0468,0.0748,0.0823,0.0914,0.745,124.985,audio_features,37dYAkMa4lzRCH6kDbMT1L,spotify:track:37dYAkMa4lzRCH6kDbMT1L,https://api.spotify.com/v1/tracks/37dYAkMa4lzRCH6kDbMT1L,https://api.spotify.com/v1/audio-analysis/37dYAkMa4lzRCH6kDbMT1L,157438.0,4.0
Eenie Meenie,Sean Kingston,0.696,0.875,0.0,-3.682,1.0,0.0649,0.134,0.0,0.159,0.772,127.39,audio_features,7AqISujIaWcY3h5zrOqt5v,spotify:track:7AqISujIaWcY3h5zrOqt5v,https://api.spotify.com/v1/tracks/7AqISujIaWcY3h5zrOqt5v,https://api.spotify.com/v1/audio-analysis/7AqISujIaWcY3h5zrOqt5v,222733.0,4.0
We No Speak Americano (Edit),Yolanda Be Cool,0.607,0.805,11.0,-5.579,0.0,0.0608,0.00175,0.0,0.231,0.232,139.894,audio_features,1hBM2D1ULT3aeKuddSwPsK,spotify:track:1hBM2D1ULT3aeKuddSwPsK,https://api.spotify.com/v1/tracks/1hBM2D1ULT3aeKuddSwPsK,https://api.spotify.com/v1/audio-analysis/1hBM2D1ULT3aeKuddSwPsK,202667.0,4.0
Forget You,CeeLo Green,0.646,0.783,7.0,-2.846,1.0,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,audio_features,7G0gBu6nLdhFDPRLc0HdDG,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,https://api.spotify.com/v1/tracks/7G0gBu6nLdhFDPRLc0HdDG,https://api.spotify.com/v1/audio-analysis/7G0gBu6nLdhFDPRLc0HdDG,231707.0,4.0
STARSTRUKK (feat. Katy Perry),3OH!3,0.465,0.977,7.0,-3.839,0.0,0.175,0.00111,0.00298,0.201,0.233,89.535,audio_features,6imjJij6aCM0IbbODUzJQn,spotify:track:6imjJij6aCM0IbbODUzJQn,https://api.spotify.com/v1/tracks/6imjJij6aCM0IbbODUzJQn,https://api.spotify.com/v1/audio-analysis/6imjJij6aCM0IbbODUzJQn,284027.0,4.0
Mine,Taylor Swift,0.624,0.554,2.0,-8.113,1.0,0.0225,0.191,0.00131,0.299,0.311,97.031,audio_features,4gs07VlJST4bdxGbBsXVue,spotify:track:4gs07VlJST4bdxGbBsXVue,https://api.spotify.com/v1/tracks/4gs07VlJST4bdxGbBsXVue,https://api.spotify.com/v1/audio-analysis/4gs07VlJST4bdxGbBsXVue,269720.0,4.0
Kickstarts,Example,0.643,0.796,5.0,-4.962,1.0,0.095,0.00576,0.0521,0.288,0.649,144.963,audio_features,4FgSQPcTde9ctbsrSJC8j5,spotify:track:4FgSQPcTde9ctbsrSJC8j5,https://api.spotify.com/v1/tracks/4FgSQPcTde9ctbsrSJC8j5,https://api.spotify.com/v1/audio-analysis/4FgSQPcTde9ctbsrSJC8j5,325787.0,4.0
Heartbreak Warfare,John Mayer,0.724,0.87,1.0,-3.614,0.0,0.113,0.00453,0.0,0.833,0.81,93.01,audio_features,2fQ6sBFWaLv2Gxos4igHLy,spotify:track:2fQ6sBFWaLv2Gxos4igHLy,https://api.spotify.com/v1/tracks/2fQ6sBFWaLv2Gxos4igHLy,https://api.spotify.com/v1/audio-analysis/2fQ6sBFWaLv2Gxos4igHLy,207547.0,4.0
Gold Dust - Radio Edit,DJ Fresh,0.789,0.495,1.0,-6.96,1.0,0.0577,0.00257,2.65e-06,0.203,0.39,144.047,audio_features,1OTAh8d1KFAFmEeS32b3Aj,spotify:track:1OTAh8d1KFAFmEeS32b3Aj,https://api.spotify.com/v1/tracks/1OTAh8d1KFAFmEeS32b3Aj,https://api.spotify.com/v1/audio-analysis/1OTAh8d1KFAFmEeS32b3Aj,201600.0,4.0
Say Aah (feat. Fabolous),Trey Songz,0.44,0.683,11.0,-4.732,0.0,0.0489,0.00706,0.0,0.0593,0.445,185.948,audio_features,2rDwdvBma1O1eLzo29p2cr,spotify:track:2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/tracks/2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/audio-analysis/2rDwdvBma1O1eLzo29p2cr,227320.0,4.0
How Low,Ludacris,0.762,0.748,0.0,-4.15,0.0,0.033,0.0266,0.0,0.348,0.851,110.009,audio_features,5BoIP8Eha5hwmRVURkC2Us,spotify:track:5BoIP8Eha5hwmRVURkC2Us,https://api.spotify.com/v1/tracks/5BoIP8Eha5hwmRVURkC2Us,https://api.spotify.com/v1/audio-analysis/5BoIP8Eha5hwmRVURkC2Us,199027.0,4.0
Whataya Want from Me,Adam Lambert,0.682,0.889,0.0,-4.166,1.0,0.0804,0.00564,0.0,0.36,0.827,138.021,audio_features,17tDv8WA8IhqE8qzuQn707,spotify:track:17tDv8WA8IhqE8qzuQn707,https://api.spotify.com/v1/tracks/17tDv8WA8IhqE8qzuQn707,https://api.spotify.com/v1/audio-analysis/17tDv8WA8IhqE8qzuQn707,192440.0,4.0
In My Head,Jason Derulo,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486.0,4.0
My First Kiss (feat. Ke$ha),3OH!3,0.665,0.738,0.0,-5.931,0.0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,audio_features,3nEHrvNNtgLv9rneTAYVr4,spotify:track:3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/tracks/3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/audio-analysis/3nEHrvNNtgLv9rneTAYVr4,214071.0,4.0
